,Movie name,Overview,Release_date,Rating,Genres,Runtime,Director,Language,Certification,Budget,Revenue,Url
1855,Couples Retreat (2009),"Four couples, all friends, descend on a tropical island resort. Though one husband and wife are there to work on their marriage, the others just want to enjoy some fun in the sun. They soon find, however, that paradise comes at a price: Participation in couples therapy sessions is mandatory. What started out as a cut-rate vacation turns into an examination of the common problems many face.",10/09/2009,55.0,"Comedy,Romance", 1h 53m,Peter Billingsley,English,PG-13,"$70,000,000.00","$171,844,840.00",https://www.themoviedb.org/movie/19899-couples-retreat
1856,Dragonheart 3: The Sorcerer's Curse (2015),"When aspiring knight Gareth goes in search of a fallen comet rumored to contain gold, he is shocked to instead find the dragon Drago. After Drago saves Gareth's life the two become intricately bonded, and must work together to defeat an evil sorcerer and stop his reign of terror. Along the way, Gareth learns the true meaning of being a knight in this fantasy action-adventure for the ages.",02/24/2015,54.0,Fantasy, 1h 37m,Colin Teague,English,PG-13,-,-,https://www.themoviedb.org/movie/300803-dragonheart-3-the-sorcerer-s-curse
1857,Allegiant (2016),Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,03/18/2016,61.0,"Adventure,Science Fiction,Action,Mystery"," 2h
   ",Robert Schwentke,English,PG-13,"$110,000,000.00","$179,246,868.00",https://www.themoviedb.org/movie/262504-allegiant
1858,Night at the Museum: Secret of the Tomb (2014),"When the magic powers of The Tablet of Ahkmenrah begin to die out, Larry Daley spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",12/19/2014,62.0,"Adventure,Comedy,Fantasy,Family", 1h 38m,Shawn Levy,English,PG,"$127,000,000.00","$363,204,635.00",https://www.themoviedb.org/movie/181533-night-at-the-museum-secret-of-the-tomb
1859,The Unborn (2009),A young woman fights the spirit that is slowly taking possession of her.,01/09/2009,52.0,"Horror,Thriller,Mystery", 1h 27m,David S. Goyer,English,PG-13,"$16,000,000.00","$76,514,050.00",https://www.themoviedb.org/movie/13788-the-unborn
1860,The Hot Chick (2002),"Not only is Jessica Spencer the most popular girl in school -- she is also the meanest. But things change for the attractive teen when a freak accident involving a cursed pair of earrings and a chance encounter at a gas station causes her to switch bodies with Clive, a sleazy crook. Jessica, in the form of the repulsive Clive, struggles to adjust to this radical alteration and sets out to get her own body back before the upcoming prom.",12/13/2002,63.0,"Comedy,Fantasy", 1h 44m,Tom Brady,English,PG-13,-,"$54,639,553.00",https://www.themoviedb.org/movie/11852-the-hot-chick
1861,Heks (2020),"A grieving British girl unravels her murdered mother's secrets connected to a South African witch doctor's curse. She wants to put an end to this haunting hex by traveling to South Africa, but instead it casts her deeper into sinister depths.",12/15/2020,63.0,"Horror,Drama", 1h 22m,Reine Swart,English,Not mentioned,-,-,https://www.themoviedb.org/movie/718022-heks
1862,The Babysitter (2017),"When Cole stays up past his bedtime, he discovers that his hot babysitter is part of a Satanic cult that will stop at nothing to keep him quiet.",10/13/2017,61.0,"Comedy,Horror", 1h 25m,McG,English,R,-,-,https://www.themoviedb.org/movie/419479-the-babysitter
1863,Marmaduke (2010),"When Phil and Debbie Winslow relocate from their native Kansas to the sunny climes of Orange County, their big-hearted, havoc-wreaking Great Dane gets a taste of the dog's life, California-style.",06/04/2010,53.0,"Family,Comedy", 1h 27m,Tom Dey,English,PG,"$50,000,000.00","$83,761,844.00",https://www.themoviedb.org/movie/38579-marmaduke
1864,RED 2 (2013),Retired C.I.A. agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,07/18/2013,65.0,"Action,Comedy,Crime,Thriller", 1h 56m,Dean Parisot,English,UA,"$84,000,000.00","$148,100,000.00",https://www.themoviedb.org/movie/146216-red-2
1865,10 Things I Hate About You (1999),"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",03/31/1999,75.0,"Comedy,Romance,Drama", 1h 37m,Gil Junger,English,PG-13,"$16,000,000.00","$53,478,166.00",https://www.themoviedb.org/movie/4951-10-things-i-hate-about-you
1866,Scooby-Doo 2: Monsters Unleashed (2004),"When Mystery, Inc. are guests of honor at the grand opening of the Coolsville Museum of Criminology, a masked villain shows up and creates havoc before stealing the costumes of the gang's most notorious villains...Could it be that their nemesis, mad scientist Jonathan Jacobo has returned and is trying to recreate their deadliest foes?",04/23/2004,60.0,"Mystery,Fantasy,Adventure,Comedy", 1h 33m,Raja Gosnell,English,PG,"$80,000,000.00","$181,466,833.00",https://www.themoviedb.org/movie/11024-scooby-doo-2-monsters-unleashed
1867,Assassins (2021),"True crime meets global spy thriller in this gripping account of the assassination of Kim Jong-nam, the half brother of the North Korean leader. The film follows the trial of the two female assassins, probing the question: were the women trained killers or innocent pawns of North Korea?",08/12/2021,74.0,Documentary, 1h 44m,Ryan White,English,12,-,-,https://www.themoviedb.org/movie/653740-assassins
